coin,symbol,candle_open_time_utc,candle_close_time_utc,open,high,low,close,volume,quote_volume,trade_count,source,source_interval,source_symbol,is_complete,ingested_at_utc,date
Dogecoin,DOGEUSDT,2025-11-10T00:00:00Z,2025-11-10T23:59:59Z,0.1793,0.18575,0.17722,0.18179,1123195034.0,203326142.68801,1766819,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-11T00:00:00Z,2025-11-11T23:59:59Z,0.18178,0.1864,0.17154,0.17206,1194191122.0,212793476.02652,1736558,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-12T00:00:00Z,2025-11-12T23:59:59Z,0.17207,0.17855,0.16721,0.17018,974860769.0,168173143.30219,1465940,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-13T00:00:00Z,2025-11-13T23:59:59Z,0.17018,0.17766,0.16,0.16384,1568645541.0,265963501.79588,2233294,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-14T00:00:00Z,2025-11-14T23:59:59Z,0.16383,0.16628,0.15472,0.15765,1838238578.0,297423027.04033,2502044,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-15T00:00:00Z,2025-11-15T23:59:59Z,0.15765,0.16482,0.15721,0.16316,673862028.0,109410937.29115,903438,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-16T00:00:00Z,2025-11-16T23:59:59Z,0.16316,0.16563,0.1536,0.15857,1032632939.0,164446278.80501,1460110,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-17T00:00:00Z,2025-11-17T23:59:59Z,0.15856,0.1651,0.15066,0.15214,1608346754.0,253950192.51438,2145355,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-18T00:00:00Z,2025-11-18T23:59:59Z,0.15214,0.16294,0.14943,0.16173,1453866633.0,227011193.46541,1803750,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-19T00:00:00Z,2025-11-19T23:59:59Z,0.16172,0.1625,0.14712,0.1546,1411295703.0,218131668.74551,1806737,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-20T00:00:00Z,2025-11-20T23:59:59Z,0.15459,0.15972,0.14623,0.14892,1600374682.0,245907244.87903,2008160,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-21T00:00:00Z,2025-11-21T23:59:59Z,0.14892,0.15109,0.13321,0.14029,2835442265.0,397756816.83951,3499278,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-22T00:00:00Z,2025-11-22T23:59:59Z,0.14029,0.1424,0.13549,0.14027,978144036.0,135288111.48891,1479305,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-23T00:00:00Z,2025-11-23T23:59:59Z,0.14027,0.14775,0.13966,0.145,846522905.0,122133108.03203,1053125,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-24T00:00:00Z,2025-11-24T23:59:59Z,0.145,0.15397,0.14279,0.15181,1133652374.0,167653300.62482,1600326,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-25T00:00:00Z,2025-11-25T23:59:59Z,0.1518,0.15504,0.14585,0.15301,936141701.0,140700452.77329,1174781,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-26T00:00:00Z,2025-11-26T23:59:59Z,0.15301,0.15681,0.14862,0.15474,858785986.0,131087713.76661,1018475,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-27T00:00:00Z,2025-11-27T23:59:59Z,0.15473,0.15559,0.1521,0.15264,442592040.0,68040858.20601,581336,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-28T00:00:00Z,2025-11-28T23:59:59Z,0.15264,0.15554,0.14825,0.15017,708146301.0,107095802.04868,926224,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-29T00:00:00Z,2025-11-29T23:59:59Z,0.15016,0.15095,0.14725,0.14837,301506106.0,44925679.58414,409185,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-11-30T00:00:00Z,2025-11-30T23:59:59Z,0.14837,0.15059,0.14588,0.14599,359178345.0,53548691.72101,457849,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-01T00:00:00Z,2025-12-01T23:59:59Z,0.14599,0.14637,0.13177,0.13547,1194651951.0,163990841.14855,1472485,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-02T00:00:00Z,2025-12-02T23:59:59Z,0.13546,0.14783,0.13443,0.14577,805736367.0,114537885.31766,1069841,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-03T00:00:00Z,2025-12-03T23:59:59Z,0.14578,0.1534,0.1452,0.15166,900651276.0,134838064.56002,1035539,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-04T00:00:00Z,2025-12-04T23:59:59Z,0.15167,0.1532,0.14557,0.14739,637362886.0,95182658.60535,842424,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-05T00:00:00Z,2025-12-05T23:59:59Z,0.14739,0.14838,0.13722,0.13956,719213185.0,102375567.22146,938298,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-06T00:00:00Z,2025-12-06T23:59:59Z,0.13956,0.14076,0.13836,0.13975,312444302.0,43631044.40816,412351,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-07T00:00:00Z,2025-12-07T23:59:59Z,0.13976,0.14291,0.13486,0.13867,638350242.0,88448350.64566,849601,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-08T00:00:00Z,2025-12-08T23:59:59Z,0.13868,0.14505,0.13799,0.14259,637568327.0,90888154.74413,919954,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-09T00:00:00Z,2025-12-09T23:59:59Z,0.1426,0.15319,0.13942,0.14797,993044372.0,145567168.96872,1235272,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-10T00:00:00Z,2025-12-10T23:59:59Z,0.14796,0.15031,0.14235,0.14332,770619026.0,112877219.37327,1243644,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-11T00:00:00Z,2025-12-11T23:59:59Z,0.14332,0.1436,0.13623,0.14033,829996639.0,115122620.90269,1074716,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-12T00:00:00Z,2025-12-12T23:59:59Z,0.14034,0.14155,0.13428,0.13692,532296809.0,73478361.65309,805252,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-13T00:00:00Z,2025-12-13T23:59:59Z,0.13692,0.14002,0.13691,0.13905,215402184.0,29842107.606,362734,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-14T00:00:00Z,2025-12-14T23:59:59Z,0.13906,0.13925,0.13261,0.13408,446980516.0,60561975.03456,616398,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-15T00:00:00Z,2025-12-15T23:59:59Z,0.13407,0.13845,0.12661,0.12975,784404436.0,103760387.9744,1310628,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-16T00:00:00Z,2025-12-16T23:59:59Z,0.12975,0.13305,0.12716,0.13179,537676555.0,70278117.09634,1047737,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-17T00:00:00Z,2025-12-17T23:59:59Z,0.13179,0.13631,0.12481,0.12633,818900138.0,106165185.1301,1429160,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-18T00:00:00Z,2025-12-18T23:59:59Z,0.12633,0.13072,0.11993,0.12207,1170003699.0,146269162.40867,1639224,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-19T00:00:00Z,2025-12-19T23:59:59Z,0.12207,0.13353,0.12056,0.13222,886504087.0,113723980.36218,1297588,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-20T00:00:00Z,2025-12-20T23:59:59Z,0.13222,0.13261,0.13069,0.13194,256897701.0,33842068.50028,345971,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-21T00:00:00Z,2025-12-21T23:59:59Z,0.13193,0.13342,0.12871,0.13112,315017725.0,41161056.1624,561601,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-22T00:00:00Z,2025-12-22T23:59:59Z,0.13113,0.1354,0.12952,0.13258,578553795.0,76773375.92192,1098065,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-23T00:00:00Z,2025-12-23T23:59:59Z,0.13258,0.13369,0.12789,0.12928,507414870.0,66083836.7402,832612,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-24T00:00:00Z,2025-12-24T23:59:59Z,0.12929,0.13038,0.12651,0.12856,335694754.0,43001950.02828,584106,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-25T00:00:00Z,2025-12-25T23:59:59Z,0.12855,0.12909,0.123,0.12365,418798463.0,52978871.95817,535964,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
